"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","IsExcludedFromTerritory2Filter","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
01214964-2e65-4368-bb96-9a16eb44be9f,"#N/A",18050.0,2023-12-29,"#N/A","#N/A",Pipeline,false,"#N/A",Kwimbee - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
012bd223-cbb6-47b9-ab20-e7c44242fed7,"#N/A",70795.0,2023-12-30,"#N/A","#N/A",Pipeline,false,"#N/A",Skyvu - SOW 2,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
02b27cc0-6c43-4d71-a639-ccc9c51a79a2,"#N/A",11550.0,2023-10-29,"#N/A","#N/A",Pipeline,false,"#N/A",Tagopia - Cross-sell,"#N/A",75.0,false,false,"#N/A",false,"#N/A","#N/A",false,Proposal/Price Quote,"#N/A","#N/A","#N/A",false,"#N/A"
03e7e430-a382-48cd-97b3-16b13b7b6296,"#N/A",75000.0,2024-02-18,"#N/A","#N/A",Pipeline,false,"#N/A",Skalith - Upsell,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Qualification,"#N/A","#N/A","#N/A",false,"#N/A"
041593bf-5f9f-43af-8b35-f9a55fd1295f,"#N/A",72395.0,2023-06-01,"#N/A","#N/A",Omitted,false,"#N/A",Rhynyx - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
0470c875-1c48-4364-9dad-3d1ff29e6004,"#N/A",34995.0,2023-09-26,"#N/A","#N/A",Pipeline,false,"#N/A",Browsetype - Additional Sale,"#N/A",50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,"#N/A","#N/A","#N/A",false,"#N/A"
052ccaeb-8aca-4490-a6df-9fcb9dd05954,"#N/A",72395.0,2023-06-01,"#N/A","#N/A",Omitted,false,"#N/A",Dynazzy - Initial Sale,"#N/A",0.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Lost,"#N/A","#N/A","#N/A",false,"#N/A"
05bc2c2a-d75e-4fc4-a15a-8a407e82c7b4,"#N/A",72395.0,2023-12-21,"#N/A","#N/A",Pipeline,false,"#N/A",Meeveo - Initial Sale,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
05c61cfc-f718-4704-85f3-982f5a1e7681,"#N/A",32395.00000002,2023-12-13,"#N/A","#N/A",Closed,false,"#N/A",Divavu - Secondary Sale,"#N/A",100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,"#N/A","#N/A","#N/A",false,"#N/A"
05c73370-fb99-4a03-9b15-71f26b34ce9a,"#N/A",72395.0,2023-12-21,"#N/A","#N/A",Pipeline,false,"#N/A",Edgetag - Initial Sale,"#N/A",60.0,false,false,"#N/A",false,"#N/A","#N/A",false,Id. Decision Makers,"#N/A","#N/A","#N/A",false,"#N/A"
