"Guid","AccountSource","AnnualRevenue","BillingCity","BillingCountry","BillingEmail__c","BillingGeocodeAccuracy","BillingLatitude","BillingLongitude","BillingPostalCode","BillingState","BillingStreet","CorporateLocations__c","Custom_Account_Picklist__c","Description","Fax","FranchiseLocations__c","Industry","IsCustomerPortal","Jigsaw","Name","NumberOfEmployees","ParentId","Phone","SBQQ__AssetQuantitiesCombined__c","SBQQ__CoTermedContractsCombined__c","SBQQ__CoTerminationEvent__c","SBQQ__ContractCoTermination__c","SBQQ__DefaultOpportunity__c","SBQQ__IgnoreParentContractedPrices__c","SBQQ__PreserveBundle__c","SBQQ__PriceHoldEnd__c","SBQQ__RenewalModel__c","SBQQ__RenewalPricingMethod__c","SBQQ__TaxExempt__c","ShippingCity","ShippingCountry","ShippingGeocodeAccuracy","ShippingLatitude","ShippingLongitude","ShippingPostalCode","ShippingState","ShippingStreet","SicDesc","TaxID__c","Test_Field__c","Type","Website","blng__BillToContact__c","blng__CustomerProfileId__c","blng__DefaultPaymentType__c","ccrz__CustomField1__c","ccrz__CustomField2__c","ccrz__DataId__c","ccrz__PreventAddrBookSave__c","ccrz__PreventNewAddrCheckout__c","ccrz__PreventNewBillAddrCO__c","ccrz__SourceSystem__c","ccrz__TaxExemptAccount__c","ccrz__UsedByCloudcraze__c"
00e0966a-f6ce-41b7-b667-b268169ba88b,"#N/A",6.03365E10,Hartford,United States,"#N/A","#N/A","#N/A","#N/A",06156-0001,CT,151 Farmington Ave,"#N/A","#N/A",Initrode is the leader in Energy in Hartford,"#N/A","#N/A",Energy,false,"#N/A",Roomm,"#N/A","#N/A",1.860.273.0123,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
00f8168d-d2d6-4087-807c-3bf74407fbc3,"#N/A",7.70881668E8,Melbourne,Australia,"#N/A","#N/A","#N/A","#N/A",3000,VIC,45 Spring Street,"#N/A","#N/A",Globo Gym American Corp is the leader in Hospitality in Melbourne,"#N/A","#N/A",Hospitality,false,"#N/A",Devcast,"#N/A","#N/A",(03) 8426 7995,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Melbourne,Australia,"#N/A","#N/A","#N/A",3000,VIC,45 Spring Street,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
013ede21-bc26-4288-8dd6-a4137b62846c,"#N/A",2.4638374E7,San Jose,United States,"#N/A","#N/A","#N/A","#N/A",95113,CA,5565 Maple Wood Street,"#N/A","#N/A","#N/A","#N/A","#N/A",Retail,false,"#N/A",Browsezoom,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
01eb2330-70da-4b5b-adb4-e9b773c736ad,"#N/A",5.0E7,Vancouver,Canada,"#N/A","#N/A","#N/A","#N/A","#N/A",BC,BC V6T 1A7,"#N/A","#N/A",Spade and Archer is the leader in Services in BC,"#N/A","#N/A",Services,false,"#N/A",Twitterwire,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
020e2b95-2d35-4a98-afa5-8da94f1cd07b,"#N/A",7.6279E10,Cincinnati,United States,"#N/A","#N/A","#N/A","#N/A",45202-3393,OH,1 Procter and Gamble Plz,"#N/A","#N/A",ADM Goods is the leader in Consumer Goods in Cincinnati,"#N/A","#N/A",Consumer Goods,false,"#N/A",Voonix.invalid,"#N/A","#N/A",1.513.983.1100,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Cincinnati,US,"#N/A","#N/A","#N/A",45201-0599,OH,P.O. BOX 599,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0219c222-f2da-4814-9cd0-54c8293f5d31,"#N/A",5.6873066E8,Bondi,Australia,"#N/A","#N/A","#N/A","#N/A",2026,NSW,178 Campbell Parade,"#N/A","#N/A",Danielle Bogartz Hospital is the leader in Healthcare in Bondi,"#N/A","#N/A",Healthcare,false,"#N/A",Oyoba,"#N/A","#N/A",(02) 7198 7098,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Bondi,Australia,"#N/A","#N/A","#N/A",2026,NSW,178 Campbell Parade,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
023c6a7d-4255-4e52-9895-2fd4f84c6043,"#N/A",2.1153104E7,Houston,United States,"#N/A","#N/A","#N/A","#N/A",77228,TX,2591 Vidon Court,"#N/A","#N/A","#N/A","#N/A","#N/A",Manufacturing,false,"#N/A",Quatz.invalid,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Prospect,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0342c3fd-a7e3-46b7-8656-c90f834b5408,"#N/A",1.49558E11,Dearborn,United States,"#N/A","#N/A","#N/A","#N/A",48126-2701,MI,1 American Rd,"#N/A","#N/A","Tension, Inc. is the leader in Energy in Dearborn","#N/A","#N/A",Energy,false,"#N/A",Gabtype,"#N/A","#N/A",1.313.322.3000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,Dearborn,US,"#N/A","#N/A","#N/A",48121-0685,MI,P.O. BOX 685,"#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
0452c195-40e5-4585-b02b-532c2ba48153,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,"#N/A",Sample Account for Entitlements,"#N/A","#N/A","#N/A",false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
07aaa0ae-fadd-403a-935e-87348ac0c383,"#N/A",5.2465E10,Burbank,United States,"#N/A","#N/A","#N/A","#N/A",91521-0007,CA,500 S Buena Vista St,"#N/A","#N/A",Larsco College is the leader in Higher Education in Burbank,"#N/A","#N/A",Higher Education,false,"#N/A",Voolith,"#N/A","#N/A",1.818.560.1000,false,false,"#N/A",Never,"#N/A",false,true,"#N/A",Contract Based,Same,No,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",Customer,"#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A",false,false,false,"#N/A",false,false
